Ano,Mês,Hospital,Internações,Lotação Máxima,Ocupação
2015,6,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2015,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2015,8,2077655 ASSOC AACD V CLEMENTINO,8,56,14.285714285714285
2015,9,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2015,10,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2015,11,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2015,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2016,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2016,2,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2016,3,2077655 ASSOC AACD V CLEMENTINO,10,56,17.857142857142858
2016,4,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2016,5,2077655 ASSOC AACD V CLEMENTINO,1,56,1.7857142857142856
2016,6,2077655 ASSOC AACD V CLEMENTINO,24,56,42.857142857142854
2016,7,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2016,8,2077655 ASSOC AACD V CLEMENTINO,16,56,28.57142857142857
2016,9,2077655 ASSOC AACD V CLEMENTINO,15,56,26.785714285714285
2016,10,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2016,11,2077655 ASSOC AACD V CLEMENTINO,8,56,14.285714285714285
2016,12,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2017,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2017,2,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2017,3,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2017,4,2077655 ASSOC AACD V CLEMENTINO,7,56,12.5
2017,5,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2017,6,2077655 ASSOC AACD V CLEMENTINO,11,56,19.642857142857142
2017,7,2077655 ASSOC AACD V CLEMENTINO,7,56,12.5
2017,8,2077655 ASSOC AACD V CLEMENTINO,34,56,60.71428571428571
2017,9,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2017,10,2077655 ASSOC AACD V CLEMENTINO,9,56,16.071428571428573
2017,11,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2017,12,2077655 ASSOC AACD V CLEMENTINO,10,56,17.857142857142858
2018,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2018,2,2077655 ASSOC AACD V CLEMENTINO,16,56,28.57142857142857
2018,3,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
